Study (cluster),Observation #,Reference,Publication type,Year published,Year (data collection),$ value reported based on year,Type of source,Action,Specific technique,Species,Location,Country,Country Code,Economy type (developed or developing),Cost (including),Total project costs reported (capital costs and operating costs),"Capital costs reported (planning, purchasing, land acquisition, construction, and financing)","Operating costs reported (maintenance, monitoring, and equipment repair and replacement)",Monitoring costs included,Construction costs included,In-kind costs (volunteers),Funding: Government,Funding: NGO,Funding: volunteers,Funding: private,Notes to funding,Project duration (year),Area (ha),Cost ($),Year used in CPI conversion,Restoration cost in (US$ / ha),"Restoration cost in  (US$ / ha) @2010 base, CPI","Restoration cost in (US$ / ha/ yr) @2010 base, CPI","Restoration cost in (Int$ / ha/ yr) @2010 base, GDP (PPP)",Feasibility (reasons for failure/success),Average survival (%),Notes,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,22,"Bergen A, Alderson C, Bergfors R, Aquila C, Matsil M (2000) Restoration of a Spartina alterniflora salt marsh following a fuel oil spill, New York City, NYNA Wetl Ecol Manag 8:185–198",journal,2000,1995-1997,NA,primary,"Between April 1995 and June 1996, 39,650 SNA alterniflora seedlings and 350 transplants were planted in 0NA68 ha of denuded fringe marsh at Gulfport Reach - 0NA9 km south of the origin of the January 1990 spillNA Seedlings were nursery grown (until becoming 15-20 cm mature transplants) in 5 cm2 peat pots from seeds collected on Staten IslandNA All seedlings were fertilized with 30 g of Osmocote 18-6-12, 8–9 month time release fertilizer and all transplants with 180 gNA All sites were enclosed with goose exclusion fenceNA Following the initial planting, no replanting, fertilization or debris removal was undertaken at any siteNA At Gulfport Reach the site was divided into nineteen transects set every fifteen meters perpendicular to the shorelineNA Three permanentm2 at elevations of 0NA76 m, 1NA06 m and 1NA20 m above MLW were set on each transect and monitored for three years after plantingNA","Planting saltmarsh (seeds, seedlings or sods)",Spartina alterniflora,Gulfport Reach,USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,"The authors thank the New York/New Jersey Harbor Estuary Oil Spill Trustees; the Natural Resources Group, New York City Parks; BNA Litus, GATX Corporation; MNA Levandowsky, Pace University; RNA Kruzansky, Central Park Soil Lab, New York City Parks; CNA Mohlenoff, Victory Nursery, New York City Parks; DNA Packer, NOAA National Marine Fisheries Science Center; City Volunteer Corp; Jersey City Youth Corp; Americorp; The Baykeeper; New York Cares; volunteers from throughout the New York City area and Commissioners Henry JNA Stern and BNA Gottbaum, New York City Parks & Recreation DepartmentNA",3,0NA68,NA,1995.00,NA,NA,NA,NA,At Gulfport seedlings and transplants had an initial survival of 50%NA Feasibility here given as mean salt marsh cover over the years of monitoringNA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,23,"Bergen A, Alderson C, Bergfors R, Aquila C, Matsil M (2000) Restoration of a Spartina alterniflora salt marsh following a fuel oil spill, New York City, NYNA Wetl Ecol Manag 8:185–199",journal,2000,1994-1996,NA,primary,Growth measurements of SNA alterniflora at Unplanted Severely Impacted (USI) reference sitesNA The remaining ten USI m2 were set at a 0NA26 ha site located 1NA9 km south of the origin of the spillNA,Growth measurements at oil spill impacted site,Spartina alterniflora,New York City,USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,"The authors thank the New York/New Jersey Harbor Estuary Oil Spill Trustees; the Natural Resources Group, New York City Parks; BNA Litus, GATX Corporation; MNA Levandowsky, Pace University; RNA Kruzansky, Central Park Soil Lab, New York City Parks; CNA Mohlenoff, Victory Nursery, New York City Parks; DNA Packer, NOAA National Marine Fisheries Science Center; City Volunteer Corp; Jersey City Youth Corp; Americorp; The Baykeeper; New York Cares; volunteers from throughout the New York City area and Commissioners Henry JNA Stern and BNA Gottbaum, New York City Parks & Recreation DepartmentNA",3,0NA26,NA,1994.00,NA,NA,NA,NA,"As comparison, the mean saltmarsh cover at an Unplanted Severely Impacted is provided hereNA",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,24,"Brockmeyer R, Rey J, Virnstein R, Gilmore R, Earnest L (1997) Rehabilitation of impounded estuarine wetlands by hydrologic reconnection to the Indian River Lagoon, Florida (USA)NA Wetl Ecol Manag 4:93–109",journal,1996,NA,NA,primary,Restoration after large-scale impoundment due to mosquito control that eleminated the whole wetland areaNA Restoration through hydrologic reconnection of impoundments to the estuaryNA Reconnection of 8000 ha of wetland areaNA,Hydrological restoration,"Spartina alterniflora, Batis maritima, Salicornia virginica, Salicornia bigelovii","Indian River Lagoon, Florida, USA",USA,USA,developed,"Cost realted to placement of culverted openings to impounded wetlands along the Indian River Lagoon, USA and a monitoring of permanent transects of over 3 yrNA Cost: 1800000 for the whole restoration project over 3 years and 8000 ha wetlandNA",yes,NA,NA,yes,yes,NA,yes,NA,NA,NA,"This analysis was supported, in part, by the StNA Johns River Water Management DistrictNA The plant transect studies were conducted under the NASA Life Sciences Support Contract and NASA Grant
NAG I0-0130NA We thank the numerous people who helped with the field work, often under trying and difficult conditionsNA",3,8000.00,1800000.00,1995.00,225.00,322.00,107.00,107.00,"Recovery of salt-tolerant plants began almost immediatelyNA Cover of salt-tolerant plants increased 1,056% in less than 3 yearsNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,25,"Broome SW, Seneca ED, Woodhouse Jr WW (1988) Tidal salt marsh restorationNA Aquat Bot 32:1-22",journal,1988,NA,1987,primary,Cost for the establishment of salt marshNA,"Planting saltmarsh (seeds, seedlings or sods)",NA,North Carolina,USA,USA,developed,"The total cost of marsh establishment includes costs associated with planning and design, negotiating for the site, preparing the site, constructing any necessary protective structures, planting and maintaining the site during the establishment periodNA Here: Cost of potted seedlings for planting 1 ha with plants spaced 0NA6 m apart (based on 1987 prices of $0NA55 per plant; n=28000)NA",yes,NA,NA,yes,NA,NA,yes,NA,NA,NA,"This paper is based on research sponsored by the North Carolina Agricultural Research Service, NOAA and the Coastal Engineering Research Center, UNASNA Army Corps of EngineersNA Appreciation is extended to MrNA CNALNA Campbell, JrNA and MrNA LNALNA Hobbs for assistance in field workNA",1,NA,15400.00,1987.00,15400.00,29534.00,29534.00,NA,Assuming that 20% of the site will have to be replanted due to transplant mortalityNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,26,"Broome SW, Seneca ED, Woodhouse Jr WW (1988) Tidal salt marsh restorationNA Aquat Bot 32:1-22",journal,1988,NA,1987,primary,Cost for the establishment of salt marshNA,"Planting saltmarsh (seeds, seedlings or sods)",NA,North Carolina,USA,USA,developed,"The comparable costs for seeds to cover 1 ha, or 1NA2 x 1,000,000 seeds, were ~ $2400NA About 10 person hours were required for broadcasting the seed and cultivation of 1 haNA About 150 person hours were required for transplanting sprigs or potted plants over 1 ha on a 0NA6-m spacing using a mechanical auger to drill holesNA Additional cost for labour: 800 US$ (moderate labor cost of $5 per person and hour)NA",NA,yes,NA,NA,yes,NA,yes,NA,NA,NA,"This paper is based on research sponsored by the North Carolina Agricultural Research Service, NOAA and the Coastal Engineering Research Center, UNASNA Army Corps of EngineersNA Appreciation is extended to MrNA CNALNA Campbell, JrNA and MrNA LNALNA Hobbs for assistance in field workNA",1,NA,3200.00,1987.00,3200.00,6137.00,6137.00,NA,Assuming that 20% of the site will have to be replanted due to transplant mortalityNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,27,"Broome SW, Seneca ED, Woodhouse Jr WW (1988) Tidal salt marsh restorationNA Aquat Bot 32:1-22",journal,1988,NA,1987,primary,Cost for the establishment of salt marshNA,"Planting saltmarsh (seeds, seedlings or sods)",NA,North Carolina,USA,USA,developed,"Labor costs to plant 1 ha on 0NA6-m spacing (28000 transplants) and maintain the planting for 1 year were USS 18800NA Cost include: moderate labor cost of $5 per person hour (200 persons) and a combination of potted plants, slow-release fertilizer at planting and one broadcast fertilizer application after plantingNA",yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,"This paper is based on research sponsored by the North Carolina Agricultural Research Service, NOAA and the Coastal Engineering Research Center, UNASNA Army Corps of EngineersNA Appreciation is extended to MrNA CNALNA Campbell, JrNA and MrNA LNALNA Hobbs for assistance in field workNA",1,NA,18800.00,1987.00,18800.00,36055.00,36055.00,NA,Assuming that 20% of the site will have to be replanted due to transplant mortalityNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I usd,1NA34738
8,28,"Broome SW, Seneca ED, Woodhouse Jr WW (1988) Tidal salt marsh restorationNA Aquat Bot 32:1-22",journal,1988,NA,1987,primary,Cost for the establishment of saltmarshNA,"Planting saltmarsh (seeds, seedlings or sods)",NA,North Carolina,USA,USA,developed,"The total cost of marsh establishment includes costs associated with planning and design, negotiating for the site, preparing the site, constructing any necessary protective structures, planting and maintaining the site during the establishment periodNA Cost include seedlings for planting 1 ha with plants spaced 0NA6 m apart, travel, per diem, overhead and profit, plus 20% of the total costs for a guarantee of the jobNA",yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,"This paper is based on research sponsored by the North Carolina Agricultural Research Service, NOAA and the Coastal Engineering Research Center, UNASNA Army Corps of EngineersNA Appreciation is extended to MrNA CNALNA Campbell, JrNA and MrNA LNALNA Hobbs for assistance in field workNA",1,NA,34000.00,1987.00,34000.00,65206.00,65206.00,NA,Assuming that 20% of the site will have to be replanted due to transplant mortalityNA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,148436NA2244
9,29,"Burchett MD, Allen C, Pulkownik A, MacFarlane G (1998) Rehabilitation of saline wetland, Olympics 2000 site, Sydney (Australia) - II: Saltmarsh transplantation trials and applicationNA Mar Pollut Bull 37:526-534",journal,1998,NA,NA,primary,"The wetland re-creation was planned to be achieved with a mixture of cuttings, seedlings if available, and some clump-transplantsNA The rehabilitation of the Haslams Creek area as a whole involved re-levelling and transplantation of some stands and the re-creation de novo of some other areas where the wetlands have been entirely obliterated over the last 50 years by waste and river-dredge dumpingNA The rehabilitation eff€ort also included the future replacement of some wetland patches which have unavoidably had to be destroyed by site remediation activities and the construction of facilities for use as a Parkland and Games venueNA","Construction, planting saltmarsh","Sarcocornia quinqueflora, Suaeda australis, Sporobolus virginicus, Lampranthus tegens, Wilsonia
backhousei, Halosarcia pergranulata","Haslams Creek, Olympics 2000 Site, Sydney",Australia,AUS,developed,"Not counting the cost of waste removal and decontamination of the area, which was only a small fraction of what had to be spent on the site as a whole, the cost of relandscaping the topsoil layer (200 mm) and replanting with saltmarsh species is comparable with that of landscaping any other type of urban parkland in Sydney, namely about AUD 80,000 per hectare and yearNA",yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We should like to thank Kim McCallum, OCA, for her initiation and support of this project in its setting up phase, and Dr Colin Grant, OCA, for his advice and support in its later stagesNA We also thank John Pym and David Whitehorn, of the Waste Services NSW site remediation team, for their on-site help and adviceNA Thanks also to Narelle Richardson, laboratory manager, Collette Thomas, and students Louisa Mamouney, Daniel Armstrong and Greg Blood, of the Faculty of Science, UTS, for help with the field sampling and analysisNA The New South Wales Olympic Co-ordination Authority, which is responsible for the redevelopment of the site for the Olympic Games 2000, Sydney, is committed to the rehabilitation of the remnant ecosystems remaining on the siteNA",2NA5,2NA5,500000.00,1997.00,148436.00,213323.00,85329.00,58522.00,"From the results of both these projects, it is clear that any chance of survival for these small remnant communities with significant ecosystem integrity, which would include enhancement of plant biodiversity and cover, and the re-establishment of a species-rich and abundant fauna, will require active management on a continuing basisNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,30,"Burchett MD, Allen C, Pulkownik A, MacFarlane G (1998) Rehabilitation of saline wetland, Olympics 2000 site, Sydney (Australia) - II: Saltmarsh transplantation trials and applicationNA Mar Pollut Bull 37:526-534",journal,1998,1993-1996,NA,primary,"A saltmarsh transplantation project, and resulting management approaches for the rehabilitation of other saline wetland areas on the siteNA Here: survival of transplanted saltmarsh on an elevation of 40 cm and after 2 yearsNA","Planting saltmarsh (seeds, seedlings or sods)",Sarcocornia quinqueflora,"Haslams Creek, Olympics 2000 Site, Sydney",Australia,AUS,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We should like to thank Kim McCallum, OCA, for her initiation and support of this project in its setting up phase, and Dr Colin Grant, OCA, for his advice and support in its later stagesNA We also thank John Pym and David Whitehorn, of the Waste Services NSW site remediation team, for their on-site help and adviceNA Thanks also to Narelle Richardson, laboratory manager, Collette Thomas, and students Louisa Mamouney, Daniel Armstrong and Greg Blood, of the Faculty of Science, UTS, for help with the field sampling and analysisNA The New South Wales Olympic Co-ordination Authority, which is responsible for the redevelopment of the site for the Olympic Games 2000, Sydney, is committed to the rehabilitation of the remnant ecosystems remaining on the siteNA",2,0NA56,NA,1993.00,NA,NA,NA,NA,NA,58NA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,31,"Burchett MD, Allen C, Pulkownik A, MacFarlane G (1998) Rehabilitation of saline wetland, Olympics 2000 site, Sydney (Australia) - II: Saltmarsh transplantation trials and applicationNA Mar Pollut Bull 37:526-534",journal,1998,1993-1996,NA,primary,"A saltmarsh transplantation project, and resulting management approaches for the rehabilitation of other saline wetland areas on the siteNA Here: survival of transplanted saltmarsh on an elevation of 40 cm and after 2 yearsNA","Planting saltmarsh (seeds, seedlings or sods)",Suaeda australis,"Haslams Creek, Olympics 2000 Site, Sydney",Australia,AUS,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We should like to thank Kim McCallum, OCA, for her initiation and support of this project in its setting up phase, and Dr Colin Grant, OCA, for his advice and support in its later stagesNA We also thank John Pym and David Whitehorn, of the Waste Services NSW site remediation team, for their on-site help and adviceNA Thanks also to Narelle Richardson, laboratory manager, Collette Thomas, and students Louisa Mamouney, Daniel Armstrong and Greg Blood, of the Faculty of Science, UTS, for help with the field sampling and analysisNA The New South Wales Olympic Co-ordination Authority, which is responsible for the redevelopment of the site for the Olympic Games 2000, Sydney, is committed to the rehabilitation of the remnant ecosystems remaining on the siteNA",2,0NA56,NA,1993.00,NA,NA,NA,NA,NA,35NA5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,32,"Burchett MD, Allen C, Pulkownik A, MacFarlane G (1998) Rehabilitation of saline wetland, Olympics 2000 site, Sydney (Australia) - II: Saltmarsh transplantation trials and applicationNA Mar Pollut Bull 37:526-534",journal,1998,1993-1996,NA,primary,"A saltmarsh transplantation project, and resulting management approaches for the rehabilitation of other saline wetland areas on the siteNA Here: survival of transplanted saltmarsh on an elevation of 40 cm and after 2 yearsNA","Planting saltmarsh (seeds, seedlings or sods)",Sporobolus virginicus,"Haslams Creek, Olympics 2000 Site, Sydney",Australia,AUS,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We should like to thank Kim McCallum, OCA, for her initiation and support of this project in its setting up phase, and Dr Colin Grant, OCA, for his advice and support in its later stagesNA We also thank John Pym and David Whitehorn, of the Waste Services NSW site remediation team, for their on-site help and adviceNA Thanks also to Narelle Richardson, laboratory manager, Collette Thomas, and students Louisa Mamouney, Daniel Armstrong and Greg Blood, of the Faculty of Science, UTS, for help with the field sampling and analysisNA The New South Wales Olympic Co-ordination Authority, which is responsible for the redevelopment of the site for the Olympic Games 2000, Sydney, is committed to the rehabilitation of the remnant ecosystems remaining on the siteNA",2,0NA56,NA,1993.00,NA,NA,NA,NA,NA,35NA5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
